City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Catumbela,AO,79.93,broken clouds,-12.4314,13.5472,Hotel Do Kamgamba
2,Rikitea,PF,77.36,overcast clouds,-23.1203,-134.9692,People ThankYou
8,San Pedro,PH,76.32,scattered clouds,14.35,121.0167,Villa Veronica Resort Private Pool
10,Arraial Do Cabo,BR,78.66,moderate rain,-22.9661,-42.0278,Pousada Porto Praia
14,Singkang,MY,76.87,overcast clouds,2.1006,102.7994,Kampung Seri Makmor Pagoh
19,Mar Del Plata,AR,75.0,clear sky,-38.0023,-57.5575,Gran Hotel Mar del Plata
23,Avarua,CK,75.25,overcast clouds,-21.2078,-159.775,Paradise Inn
26,Townsville,AU,81.48,clear sky,-19.25,146.8,Rydges Southbank Townsville
27,Buala,SB,80.28,light rain,-8.145,159.5921,Maringe Lagoon Lodge
29,Vaini,TO,80.29,clear sky,-21.2,-175.2,Keleti Beach Resort
30,Cape Town,ZA,87.12,overcast clouds,-33.9258,18.4232,Southern Sun Waterfront Cape Town
38,Alofi,NU,81.63,overcast clouds,-19.0595,-169.9187,Taloa Heights
39,Jaciara,BR,79.72,scattered clouds,-15.9653,-54.9683,Taba Hotel
40,Faanui,PF,77.25,heavy intensity rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
42,Ibotirama,BR,80.26,clear sky,-12.1853,-43.2206,Serra do Rio Hotel
44,Monteiro,BR,83.23,few clouds,-7.8894,-37.12,Pousada Seu Tião
50,Pitimbu,BR,79.39,overcast clouds,-7.4706,-34.8086,Reserva do Abiaí
51,Padang,ID,82.45,scattered clouds,-0.9492,100.3543,Mercure Padang
52,Atuona,PF,76.03,moderate rain,-9.8,-139.0333,Villa Enata
53,Yulara,AU,87.64,overcast clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
56,Tiarei,PF,75.22,light rain,-17.5333,-149.3333,Le Rocher de Tahiti
58,Kaeng Khoi,TH,84.16,clear sky,14.5862,100.9976,ปานปั้นเพลส / PaanPuanPlace
59,Butaritari,KI,81.59,light rain,3.0707,172.7902,Isles Sunset Lodge
61,Bengkulu,ID,79.72,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
62,Hermanus,ZA,86.9,overcast clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
63,Lethem,GY,83.35,overcast clouds,3.3803,-59.7968,Savannah Inn
65,Dubreka,GN,84.27,overcast clouds,9.7911,-13.5233,Hôtel le Semeur Chez Eva
67,Kasempa,ZM,75.42,overcast clouds,-13.4584,25.8338,Lolelunga Forest Reserve
68,Kuching,MY,77.22,moderate rain,1.55,110.3333,The Ranee Boutique Suites
69,Mahebourg,MU,86.29,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
71,Kununurra,AU,76.98,moderate rain,-15.7667,128.7333,Hotel Kununurra
76,Calvinia,ZA,89.78,broken clouds,-31.4707,19.776,Die Lemoenhuis
82,Kieta,PG,79.57,light rain,-6.2167,155.6333,Uruna Bay Retreat
84,Inhambane,MZ,83.39,light rain,-23.865,35.3833,Oceano
89,Ranong,TH,80.53,broken clouds,9.9658,98.6348,Tinidee Hotel@Ranong
91,Saint-Philippe,RE,85.21,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
94,Samarai,PG,80.76,broken clouds,-10.6167,150.6667,Nuli Sapi
97,Vila Velha,BR,84.15,scattered clouds,-20.3297,-40.2925,Quality Suites Vila Velha
100,Domoni,KM,86.5,overcast clouds,-12.2569,44.5319,Al Djadid
104,Sambava,MG,86.65,scattered clouds,-14.2667,50.1667,Melrose
106,Port Elizabeth,ZA,75.49,few clouds,-33.918,25.5701,39 On Nile Guest House
107,Saraza,PH,77.85,overcast clouds,8.7356,117.78,Farmqo Beach (Matangkay)
109,Souillac,MU,86.38,broken clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
110,Hobyo,SO,79.93,overcast clouds,5.3505,48.5268,Halane Hotel and Restaurent
111,Bandarbeyla,SO,77.16,scattered clouds,9.4942,50.8122,JABIR HOTEL
114,Banjar,ID,76.91,overcast clouds,-8.19,114.9675,The Hamsa Resort
115,Moengo,SR,81.59,few clouds,5.6167,-54.4,Masanga
116,Bambous Virieux,MU,86.25,broken clouds,-20.3428,57.7575,Casa Tia Villa
119,The Valley,AI,82.26,scattered clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
