City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
Busselton,AU,-33.65,115.3333,66.04,81,25,12.46,scattered clouds
Catumbela,AO,-12.4314,13.5472,79.93,66,84,8.63,broken clouds
Rikitea,PF,-23.1203,-134.9692,77.36,75,100,14.7,overcast clouds
Guerrero Negro,MX,27.9769,-114.0611,63.86,73,100,6.24,overcast clouds
Dunmore East,IE,52.1514,-6.9861,49.68,77,75,6.91,broken clouds
Sisimiut,GL,66.9395,-53.6735,9.63,93,100,6.87,light snow
Illapel,CL,-31.6308,-71.1653,69.89,71,99,4.83,overcast clouds
Ushuaia,AR,-54.8,-68.3,47.82,76,100,8.05,heavy intensity rain
San Pedro,PH,14.35,121.0167,76.32,71,25,14.34,scattered clouds
Constitucion,CL,-35.3333,-72.4167,67.48,67,79,2.37,broken clouds
Arraial Do Cabo,BR,-22.9661,-42.0278,78.66,83,75,14.97,moderate rain
Gulabpura,IN,25.9,74.6667,57.61,50,0,5.91,clear sky
Dikson,RU,73.5069,80.5464,6.17,84,100,29.95,overcast clouds
Challapata,BO,-18.9,-66.7667,44.53,77,14,3.65,few clouds
Singkang,MY,2.1006,102.7994,76.87,80,100,4.52,overcast clouds
Minot,US,48.2325,-101.2963,19.62,79,0,10.36,clear sky
Dwarka,IN,22.2394,68.9678,69.84,42,0,14.45,clear sky
Kodiak,US,57.79,-152.4072,33.31,86,100,0.0,overcast clouds
Thinadhoo,MV,0.5333,72.9333,83.39,71,86,11.7,overcast clouds
Mar Del Plata,AR,-38.0023,-57.5575,75.0,81,0,4.0,clear sky
Akyab,MM,20.15,92.9,74.12,75,100,8.37,overcast clouds
Tuktoyaktuk,CA,69.4541,-133.0374,-31.18,100,26,3.02,scattered clouds
Qaanaaq,GL,77.484,-69.3632,-8.7,83,98,6.82,overcast clouds
Avarua,CK,-21.2078,-159.775,75.25,88,100,2.3,overcast clouds
Ahipara,NZ,-35.1667,173.1667,62.62,84,99,6.02,overcast clouds
Punta Arenas,CL,-53.15,-70.9167,48.31,61,75,19.57,broken clouds
Townsville,AU,-19.25,146.8,81.48,69,0,6.91,clear sky
Buala,SB,-8.145,159.5921,80.28,84,100,9.8,light rain
Azul,AR,-36.777,-59.8585,92.39,27,0,8.05,clear sky
Vaini,TO,-21.2,-175.2,80.29,78,1,6.46,clear sky
Cape Town,ZA,-33.9258,18.4232,87.12,64,99,10.42,overcast clouds
Barrow,US,71.2906,-156.7887,-14.78,76,0,11.5,clear sky
New Norfolk,AU,-42.7826,147.0587,65.91,63,92,1.99,overcast clouds
Palmer,US,42.1584,-72.3287,5.61,46,31,10.74,scattered clouds
Rapar,IN,23.5667,70.6333,67.48,35,0,10.42,clear sky
